Date,Temp,Electricity
2022-01,31.17,373766
2022-02,33.66,324311
2022-03,44.08,324530
2022-04,50.67,303994
2022-05,61.92,342184
2022-06,70.79,379134
2022-07,76.39,422975
2022-08,74.59,412133
2022-09,68.02,351655
2022-10,55.18,313949
2022-11,40.96,321780
2022-12,33.12,360257
2023-01,35.08,347784
2023-02,36.34,310776
2023-03,40.53,331565
2023-04,51.28,301768
2023-05,62.37,327374
2023-06,68.99,359101
2023-07,75.65,425220
2023-08,74.35,422682
2023-09,67.75,360328
2023-10,56.03,326549
2023-11,44.22,320610
2023-12,39.76,349513
2024-01,31.89,380335
2024-02,40.82,320763
2024-03,44.96,324136
2024-04,53.64,309269
2024-05,62.28,345572
2024-06,71.82,389865
2024-07,75.7,430288
2024-08,74.01,423355
2024-09,68.63,359190
2024-10,58.96,333725
2024-11,45.18,324033
2024-12,38.19,
2025-01,29.21,
2025-02,34.86,
